Date,A,B,C,D,E
16-05-2021,11,24,34,41,42
15-05-2021,19,25,28,32,37
14-05-2021,8,14,22,34,42
13-05-2021,1,31,34,39,42
12-05-2021,3,4,14,34,35
11-05-2021,21,31,34,37,40
10-05-2021,4,19,22,27,30
09-05-2021,2,20,28,35,37
08-05-2021,1,7,8,10,11
07-05-2021,7,8,31,32,38
06-05-2021,7,9,14,29,39
05-05-2021,9,12,14,41,42
04-05-2021,2,18,19,31,34
03-05-2021,3,6,8,24,28
02-05-2021,7,8,27,30,36
01-05-2021,6,7,14,15,26
30-04-2021,2,16,35,36,39
29-04-2021,8,20,21,26,42
28-04-2021,4,12,19,23,33
27-04-2021,1,8,15,18,42
26-04-2021,11,12,24,32,39
25-04-2021,5,14,32,41,42
24-04-2021,1,4,14,21,29
23-04-2021,9,13,29,31,34
22-04-2021,7,9,12,32,34
21-04-2021,6,8,9,24,30
20-04-2021,7,8,22,27,35
19-04-2021,5,15,23,28,34
18-04-2021,6,9,17,25,37
17-04-2021,10,16,27,29,42
16-04-2021,12,24,30,38,40
15-04-2021,6,18,37,38,39
14-04-2021,14,15,23,26,40
13-04-2021,21,22,26,31,33
12-04-2021,8,23,25,27,31
11-04-2021,4,14,22,23,39
10-04-2021,12,20,23,24,34
09-04-2021,9,17,21,24,40
08-04-2021,2,15,20,27,40
07-04-2021,3,17,25,28,32
06-04-2021,2,26,32,33,37
05-04-2021,15,30,34,35,42
04-04-2021,13,18,20,27,40
03-04-2021,2,10,23,30,31
02-04-2021,1,5,7,20,30
01-04-2021,3,13,34,35,42
31-03-2021,2,5,10,20,27
30-03-2021,16,37,40,41,42
29-03-2021,1,12,22,27,40
28-03-2021,7,29,33,37,42
27-03-2021,1,27,31,35,42
26-03-2021,4,13,14,19,21
25-03-2021,8,12,20,31,37
24-03-2021,4,11,17,23,33
23-03-2021,9,14,18,23,32
22-03-2021,7,14,29,31,42
21-03-2021,4,11,15,27,37
20-03-2021,6,8,22,30,39
19-03-2021,7,14,15,28,30
18-03-2021,17,21,34,37,41
17-03-2021,2,5,11,22,31
16-03-2021,7,9,36,38,42
15-03-2021,1,3,5,6,34
14-03-2021,7,13,25,29,39
13-03-2021,1,20,27,35,41
12-03-2021,11,17,30,36,39
11-03-2021,4,15,20,35,38
10-03-2021,4,5,7,15,33
09-03-2021,2,6,8,13,26
08-03-2021,4,9,28,29,40
07-03-2021,4,21,25,28,36
06-03-2021,8,11,31,33,41
05-03-2021,2,3,23,36,39
04-03-2021,2,18,19,21,38
03-03-2021,6,19,23,30,37
02-03-2021,3,20,28,37,39
01-03-2021,9,27,29,35,39
28-02-2021,7,12,20,27,33
27-02-2021,11,22,23,36,39
26-02-2021,10,20,26,31,36
25-02-2021,15,20,28,37,40
24-02-2021,4,11,13,36,39
23-02-2021,1,3,17,22,38
22-02-2021,16,19,22,26,33
21-02-2021,7,9,17,34,38
20-02-2021,9,10,16,31,37
19-02-2021,9,14,25,28,29
18-02-2021,3,4,6,19,24
17-02-2021,9,20,21,31,37
16-02-2021,14,18,26,32,34
15-02-2021,3,10,15,20,40
14-02-2021,7,16,22,32,38
13-02-2021,9,12,23,26,33
12-02-2021,7,16,34,39,40
11-02-2021,7,11,13,32,37
10-02-2021,11,16,31,33,37
09-02-2021,7,28,29,38,41
08-02-2021,15,25,27,28,42
07-02-2021,9,24,35,41,42
06-02-2021,2,4,16,20,39
05-02-2021,7,11,19,23,24
04-02-2021,2,7,8,9,25
03-02-2021,2,7,36,37,42
02-02-2021,3,4,8,9,19
01-02-2021,13,21,22,24,38
31-01-2021,7,12,27,36,38
30-01-2021,10,14,15,26,37
29-01-2021,2,6,24,36,42
28-01-2021,7,19,24,26,33
27-01-2021,4,5,23,37,40
26-01-2021,6,13,14,27,42
25-01-2021,13,16,23,26,31
24-01-2021,1,27,28,36,39
23-01-2021,12,18,29,32,37
22-01-2021,6,17,27,28,32
21-01-2021,5,10,11,22,29
20-01-2021,10,13,18,19,37
19-01-2021,7,20,21,27,41
18-01-2021,9,24,26,30,37
17-01-2021,8,11,24,33,40
16-01-2021,7,13,24,33,40
15-01-2021,6,10,14,15,21
14-01-2021,1,13,23,26,28
13-01-2021,4,6,12,28,34
12-01-2021,6,13,17,20,35
11-01-2021,1,13,15,31,41
10-01-2021,5,18,25,33,42
09-01-2021,13,24,25,39,42
08-01-2021,4,5,7,18,21
07-01-2021,10,12,33,35,39
06-01-2021,1,4,7,31,41
05-01-2021,10,12,22,30,41
04-01-2021,16,17,19,26,37
03-01-2021,7,11,16,29,41
02-01-2021,3,23,25,26,29
01-01-2021,11,22,25,39,41
31-12-2020,3,8,19,21,35
30-12-2020,6,14,16,21,37
29-12-2020,17,30,31,35,36
28-12-2020,23,26,30,36,42
27-12-2020,13,24,31,32,34
26-12-2020,11,14,16,41,42
25-12-2020,10,11,20,32,38
24-12-2020,1,5,31,33,34
23-12-2020,1,16,28,30,32
22-12-2020,2,21,30,32,33
21-12-2020,10,20,26,32,42
20-12-2020,24,29,31,34,37
19-12-2020,18,21,26,27,42
18-12-2020,3,6,19,23,36
17-12-2020,7,10,16,23,31
16-12-2020,9,14,19,28,38
15-12-2020,13,17,22,28,30
14-12-2020,7,12,25,26,32
13-12-2020,7,13,19,20,30
12-12-2020,6,9,14,30,36
11-12-2020,1,11,13,27,36
10-12-2020,4,5,9,33,40
09-12-2020,12,18,24,27,42
08-12-2020,10,20,25,27,41
07-12-2020,3,8,9,27,30
06-12-2020,7,17,19,24,34
05-12-2020,12,29,32,34,40
04-12-2020,11,12,32,37,40
03-12-2020,4,9,15,20,38
02-12-2020,5,10,17,19,28
01-12-2020,4,14,18,28,36
30-11-2020,2,10,23,24,31
29-11-2020,1,8,12,14,20
28-11-2020,3,14,21,24,41
27-11-2020,1,2,20,31,34
26-11-2020,12,19,28,29,31
25-11-2020,14,21,31,37,39
24-11-2020,7,15,25,27,37
23-11-2020,6,11,22,26,36
22-11-2020,6,10,29,34,42
21-11-2020,2,3,12,16,27
20-11-2020,11,15,20,27,32
19-11-2020,1,21,22,33,40
18-11-2020,3,14,17,20,21
17-11-2020,19,24,25,30,35
16-11-2020,3,22,29,31,36
15-11-2020,4,10,17,34,38
